age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
76,226175.0,4.0,14.0,2.6,10.0,10.0,34.0,7.0,7720.0,121589.0,4.0,7.0,7.0,3.0,6.0,10.0,5.0,9.0,7.0,5.0,6.0,Female,Tier 2,Store
59,140695.0,8.0,4.0,3.7,4.0,3.0,2.0,9.0,134176.0,148247.0,7.0,1.0,6.0,2.0,9.0,3.0,8.0,9.0,5.0,2.0,2.0,Other,Tier 1,Store
45,149585.0,4.2,14.0,3.8,7.0,6.0,28.0,4.0,28170.0,36288.0,1.0,3.0,6.0,10.0,8.0,10.0,10.0,7.0,7.0,4.0,8.0,Male,Tier 1,Store
77,159407.0,6.6,2.0,2.7,5.0,8.0,23.0,19.0,73135.0,125311.0,7.0,5.0,6.0,3.0,7.0,8.0,10.0,7.0,5.0,1.0,10.0,Other,Tier 3,Store
33,190212.0,5.1,12.0,2.7,6.0,10.0,44.0,2.0,9795.0,144291.0,1.0,3.0,2.0,10.0,7.0,5.0,9.0,9.0,3.0,1.0,6.0,Male,Tier 1,Store
32,119126.0,7.3,12.0,1.8,9.0,2.0,22.0,4.0,68655.0,62518.0,2.0,1.0,4.0,6.0,9.0,7.0,6.0,7.0,5.0,5.0,9.0,Female,Tier 2,Store
79,226445.0,7.6,3.0,3.6,9.0,1.0,8.0,14.0,114331.0,37757.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,8.0,5.0,Other,Tier 1,Store
79,92658.0,4.7,5.0,2.3,6.0,10.0,1.0,13.0,13016.0,22135.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,7.0,1.0,6.0,5.0,Other,Tier 3,Store
64,180912.0,5.9,10.0,1.2,2.0,1.0,14.0,4.0,31116.0,55921.0,8.0,1.0,1.0,4.0,6.0,10.0,1.0,4.0,2.0,3.0,8.0,Other,Tier 3,Store
79,46007.0,3.1,4.0,1.3,9.0,7.0,31.0,1.0,126467.0,56756.0,8.0,6.0,5.0,5.0,2.0,10.0,2.0,7.0,1.0,1.0,7.0,Female,Tier 1,Store
68,203019.0,9.4,5.0,2.4,2.0,2.0,17.0,6.0,126412.0,15024.0,7.0,8.0,2.0,10.0,7.0,10.0,3.0,6.0,7.0,3.0,7.0,Female,Tier 2,Hybrid
61,121833.0,8.1,13.0,1.3,2.0,9.0,28.0,6.0,139574.0,106040.0,7.0,9.0,7.0,2.0,2.0,8.0,7.0,9.0,2.0,8.0,6.0,Male,Tier 2,Store
72,133637.0,3.2,12.0,6.0,2.0,10.0,39.0,13.0,74782.0,66488.0,5.0,8.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,7.0,Other,Tier 1,Store
69,135721.0,4.3,11.0,3.1,7.0,4.0,2.0,14.0,108383.0,117518.0,10.0,5.0,3.0,9.0,9.0,6.0,6.0,4.0,5.0,8.0,7.0,Female,Tier 1,Store
74,108220.0,5.7,1.0,1.9,4.0,7.0,32.0,16.0,45068.0,102512.0,9.0,9.0,1.0,2.0,3.0,4.0,4.0,6.0,3.0,2.0,7.0,Other,Tier 1,Store
20,41393.0,6.1,4.0,2.7,8.0,5.0,6.0,8.0,5913.0,42042.0,1.0,2.0,3.0,8.0,9.0,1.0,4.0,10.0,5.0,5.0,3.0,Other,Tier 1,Store
54,72480.0,4.6,11.0,3.5,8.0,5.0,29.0,3.0,52392.0,93220.0,4.0,6.0,3.0,3.0,6.0,8.0,3.0,10.0,10.0,7.0,1.0,Other,Tier 1,Store
68,132243.0,3.7,10.0,2.8,1.0,7.0,26.0,15.0,133331.0,123696.0,6.0,7.0,3.0,8.0,4.0,5.0,7.0,9.0,2.0,7.0,1.0,Male,Tier 2,Store
24,103290.0,6.8,3.0,1.3,1.0,9.0,37.0,13.0,33872.0,73035.0,4.0,8.0,5.0,2.0,7.0,1.0,5.0,5.0,7.0,1.0,6.0,Other,Tier 2,Store
38,232407.0,9.5,13.0,2.4,4.0,4.0,28.0,0.0,52668.0,123722.0,2.0,3.0,3.0,3.0,7.0,2.0,8.0,6.0,9.0,5.0,8.0,Male,Tier 3,Store
26,119263.0,6.1,2.0,2.2,2.0,9.0,30.0,1.0,23421.0,955.0,2.0,4.0,6.0,4.0,4.0,7.0,8.0,2.0,5.0,5.0,8.0,Other,Tier 3,Online
56,155179.0,5.4,7.0,1.9,3.0,9.0,0.0,12.0,52138.0,79761.0,2.0,0.0,2.0,10.0,3.0,10.0,1.0,7.0,9.0,3.0,4.0,Female,Tier 2,Store
35,20993.0,5.2,10.0,1.4,10.0,8.0,40.0,7.0,24961.0,12163.0,7.0,4.0,7.0,10.0,4.0,9.0,5.0,4.0,7.0,2.0,2.0,Male,Tier 1,Online
21,242413.0,3.8,9.0,3.6,2.0,1.0,42.0,8.0,112610.0,37711.0,5.0,9.0,6.0,9.0,6.0,6.0,4.0,3.0,4.0,4.0,10.0,Female,Tier 1,Store
42,108650.0,4.7,1.0,3.1,10.0,10.0,26.0,9.0,103258.0,140980.0,2.0,6.0,2.0,3.0,7.0,10.0,6.0,1.0,5.0,3.0,9.0,Other,Tier 2,Store
77,249397.0,8.3,12.0,3.1,9.0,9.0,26.0,19.0,10552.0,143281.0,9.0,1.0,6.0,4.0,4.0,4.0,7.0,1.0,7.0,10.0,1.0,Female,Tier 3,Store
31,132595.0,1.9,7.0,0.1,6.0,3.0,28.0,9.0,70970.0,20249.0,2.0,4.0,2.0,4.0,8.0,3.0,5.0,6.0,6.0,2.0,10.0,Male,Tier 1,Store
67,67066.0,6.1,11.0,2.0,7.0,8.0,4.0,15.0,131931.0,84210.0,7.0,8.0,6.0,10.0,4.0,1.0,5.0,2.0,6.0,1.0,9.0,Female,Tier 2,Store
75,126850.0,6.1,12.0,4.1,6.0,5.0,2.0,8.0,63618.0,6736.0,1.0,2.0,7.0,3.0,10.0,4.0,9.0,9.0,8.0,4.0,4.0,Male,Tier 1,Store
26,57942.0,6.2,1.0,3.0,1.0,6.0,28.0,5.0,42865.0,74798.0,6.0,1.0,4.0,9.0,6.0,3.0,8.0,9.0,4.0,4.0,4.0,Male,Tier 3,Store
43,31138.0,7.5,5.0,1.0,5.0,3.0,40.0,11.0,20700.0,93830.0,6.0,4.0,4.0,10.0,5.0,3.0,8.0,3.0,8.0,3.0,5.0,Other,Tier 2,Store
70,133558.0,6.1,1.0,4.7,3.0,7.0,38.0,16.0,112780.0,45820.0,5.0,8.0,3.0,4.0,1.0,2.0,5.0,9.0,5.0,3.0,10.0,Other,Tier 1,Store
19,190599.0,5.1,3.0,0.0,10.0,2.0,12.0,9.0,45262.0,75090.0,7.0,9.0,6.0,8.0,7.0,10.0,1.0,8.0,3.0,9.0,6.0,Male,Tier 3,Store
37,24190.0,4.7,8.0,2.7,8.0,3.0,32.0,10.0,95314.0,64682.0,10.0,3.0,1.0,5.0,3.0,2.0,10.0,10.0,7.0,1.0,6.0,Female,Tier 3,Store
45,107259.0,8.6,13.0,4.7,7.0,2.0,19.0,8.0,121443.0,2632.0,8.0,0.0,4.0,6.0,9.0,3.0,8.0,8.0,3.0,10.0,7.0,Female,Tier 3,Online
64,93422.0,8.1,4.0,0.5,9.0,9.0,2.0,17.0,12681.0,73056.0,2.0,5.0,5.0,3.0,10.0,7.0,2.0,7.0,1.0,10.0,10.0,Other,Tier 3,Store
77,201770.0,11.8,12.0,1.9,1.0,3.0,5.0,2.0,14174.0,80428.0,3.0,8.0,7.0,9.0,6.0,3.0,3.0,5.0,7.0,8.0,2.0,Male,Tier 3,Store
24,97315.0,5.4,1.0,0.7,2.0,8.0,42.0,4.0,81080.0,1415.0,8.0,3.0,2.0,4.0,5.0,1.0,3.0,4.0,4.0,7.0,1.0,Male,Tier 2,Online
61,239782.0,4.7,1.0,4.3,2.0,6.0,16.0,4.0,40995.0,33647.0,5.0,8.0,3.0,6.0,6.0,5.0,3.0,5.0,3.0,9.0,7.0,Male,Tier 3,Store
78,44086.0,6.9,8.0,1.4,1.0,1.0,46.0,4.0,85145.0,53410.0,6.0,6.0,5.0,6.0,7.0,8.0,5.0,9.0,4.0,10.0,5.0,Other,Tier 2,Store
25,163394.0,6.9,14.0,3.8,8.0,6.0,3.0,10.0,115514.0,107200.0,4.0,0.0,5.0,8.0,5.0,8.0,8.0,4.0,4.0,4.0,6.0,Male,Tier 1,Store
64,140604.0,7.3,8.0,4.3,4.0,8.0,32.0,3.0,25654.0,113813.0,1.0,5.0,1.0,10.0,5.0,5.0,1.0,9.0,6.0,2.0,5.0,Other,Tier 3,Store
52,115814.0,7.7,4.0,0.8,7.0,10.0,32.0,4.0,46668.0,53060.0,8.0,1.0,6.0,8.0,4.0,8.0,8.0,9.0,6.0,10.0,8.0,Female,Tier 2,Store
31,134324.0,7.3,4.0,0.6,10.0,3.0,5.0,18.0,53741.0,92824.0,4.0,7.0,6.0,6.0,4.0,4.0,6.0,10.0,3.0,2.0,3.0,Female,Tier 2,Store
34,229641.0,8.2,10.0,3.1,1.0,7.0,40.0,10.0,127570.0,40905.0,9.0,6.0,7.0,1.0,3.0,3.0,10.0,6.0,6.0,8.0,1.0,Male,Tier 2,Store
53,231682.0,8.4,11.0,3.5,8.0,6.0,13.0,11.0,6497.0,6128.0,2.0,6.0,2.0,8.0,8.0,2.0,1.0,5.0,1.0,5.0,1.0,Male,Tier 3,Online
67,143921.0,8.5,2.0,2.4,8.0,1.0,45.0,16.0,98084.0,69949.0,8.0,3.0,7.0,7.0,6.0,6.0,8.0,2.0,3.0,5.0,2.0,Female,Tier 3,Store
57,18435.0,1.5,2.0,2.5,10.0,2.0,6.0,14.0,42909.0,146654.0,9.0,0.0,2.0,5.0,7.0,8.0,6.0,4.0,10.0,2.0,2.0,Female,Tier 2,Store
21,116505.0,6.5,12.0,4.4,3.0,5.0,5.0,1.0,127783.0,33220.0,6.0,6.0,4.0,8.0,3.0,8.0,1.0,3.0,7.0,7.0,4.0,Female,Tier 3,Store
19,68331.0,4.2,6.0,2.2,9.0,7.0,2.0,0.0,46694.0,136414.0,8.0,4.0,4.0,6.0,9.0,6.0,1.0,10.0,4.0,10.0,7.0,Female,Tier 3,Store
79,175014.0,8.1,8.0,4.3,5.0,4.0,36.0,5.0,39103.0,143083.0,4.0,4.0,5.0,1.0,10.0,7.0,4.0,9.0,6.0,9.0,3.0,Male,Tier 1,Store
23,205707.0,1.4,7.0,1.8,5.0,6.0,21.0,0.0,99870.0,77294.0,10.0,8.0,5.0,4.0,7.0,2.0,10.0,4.0,7.0,3.0,2.0,Other,Tier 3,Store
71,175131.0,8.9,7.0,5.6,5.0,2.0,37.0,14.0,75058.0,101241.0,1.0,2.0,5.0,4.0,6.0,5.0,3.0,6.0,8.0,7.0,7.0,Other,Tier 1,Store
59,203629.0,4.3,3.0,1.3,1.0,5.0,7.0,1.0,116877.0,85088.0,2.0,4.0,2.0,1.0,4.0,4.0,3.0,6.0,10.0,1.0,3.0,Male,Tier 2,Store
21,128457.0,3.8,12.0,4.0,10.0,10.0,23.0,7.0,60914.0,86637.0,1.0,9.0,5.0,10.0,1.0,2.0,7.0,2.0,10.0,6.0,4.0,Male,Tier 2,Store
71,67389.0,6.7,2.0,1.2,2.0,3.0,12.0,15.0,108663.0,12756.0,9.0,1.0,6.0,1.0,9.0,8.0,10.0,9.0,6.0,10.0,2.0,Other,Tier 3,Store
46,68014.0,5.3,10.0,3.5,1.0,1.0,12.0,15.0,100090.0,14593.0,5.0,4.0,7.0,6.0,4.0,7.0,3.0,4.0,6.0,8.0,5.0,Female,Tier 1,Store
35,178898.0,9.6,7.0,2.5,2.0,6.0,0.0,15.0,134009.0,122334.0,6.0,4.0,2.0,1.0,9.0,5.0,1.0,3.0,5.0,7.0,10.0,Male,Tier 1,Store
43,45297.0,8.7,4.0,2.9,9.0,9.0,40.0,19.0,133533.0,51599.0,8.0,1.0,4.0,8.0,4.0,10.0,2.0,2.0,5.0,8.0,10.0,Other,Tier 2,Store
61,58890.0,5.0,1.0,3.4,9.0,10.0,35.0,18.0,54175.0,15079.0,9.0,8.0,1.0,2.0,8.0,5.0,7.0,10.0,3.0,2.0,10.0,Male,Tier 1,Hybrid
51,36322.0,8.1,1.0,2.8,5.0,8.0,31.0,1.0,89984.0,1755.0,3.0,2.0,4.0,3.0,10.0,7.0,5.0,8.0,4.0,3.0,7.0,Male,Tier 1,Online
27,50739.0,4.9,4.0,2.7,4.0,4.0,4.0,19.0,96448.0,40057.0,2.0,0.0,2.0,3.0,2.0,9.0,10.0,4.0,10.0,6.0,1.0,Female,Tier 2,Store
79,155791.0,4.9,5.0,0.1,2.0,8.0,48.0,13.0,88080.0,131816.0,3.0,3.0,2.0,4.0,8.0,5.0,10.0,10.0,3.0,6.0,10.0,Male,Tier 2,Store
53,94553.0,7.4,5.0,4.3,6.0,5.0,6.0,1.0,111721.0,12894.0,6.0,3.0,4.0,8.0,4.0,5.0,10.0,1.0,8.0,2.0,5.0,Male,Tier 3,Online
31,23314.0,8.9,1.0,4.5,9.0,3.0,49.0,18.0,12272.0,95966.0,1.0,4.0,4.0,3.0,8.0,1.0,8.0,7.0,10.0,1.0,10.0,Female,Tier 1,Store
48,108831.0,5.1,3.0,2.4,8.0,4.0,44.0,1.0,132569.0,27317.0,2.0,2.0,2.0,1.0,4.0,1.0,6.0,10.0,4.0,4.0,2.0,Male,Tier 3,Store
65,90164.0,5.3,6.0,3.2,10.0,7.0,31.0,17.0,90211.0,118307.0,8.0,7.0,3.0,3.0,5.0,4.0,7.0,8.0,8.0,1.0,10.0,Female,Tier 1,Store
32,122658.0,6.6,10.0,4.3,4.0,5.0,27.0,16.0,31685.0,132793.0,8.0,6.0,4.0,9.0,4.0,5.0,8.0,1.0,2.0,5.0,3.0,Male,Tier 2,Store
25,92028.0,4.2,7.0,3.3,6.0,4.0,32.0,18.0,65991.0,51025.0,6.0,0.0,5.0,9.0,3.0,2.0,8.0,4.0,9.0,7.0,9.0,Male,Tier 3,Store
31,51113.0,9.1,11.0,1.8,9.0,3.0,45.0,13.0,147375.0,78112.0,8.0,0.0,6.0,9.0,3.0,5.0,2.0,7.0,5.0,1.0,4.0,Male,Tier 3,Store
40,132174.0,4.2,1.0,0.9,10.0,3.0,13.0,16.0,130017.0,1691.0,8.0,7.0,7.0,4.0,9.0,1.0,10.0,1.0,5.0,8.0,8.0,Male,Tier 2,Online
77,161429.0,4.7,8.0,3.3,10.0,10.0,12.0,15.0,78190.0,20030.0,5.0,4.0,4.0,10.0,8.0,4.0,6.0,10.0,6.0,5.0,3.0,Male,Tier 1,Store
74,244937.0,9.5,4.0,2.7,4.0,6.0,28.0,18.0,127092.0,79753.0,4.0,1.0,1.0,9.0,5.0,3.0,7.0,5.0,1.0,1.0,3.0,Other,Tier 2,Store
79,35365.0,6.4,13.0,2.5,9.0,8.0,49.0,16.0,48155.0,140662.0,7.0,7.0,2.0,2.0,2.0,8.0,2.0,3.0,1.0,4.0,6.0,Female,Tier 3,Store
57,54029.0,9.9,9.0,1.5,8.0,4.0,39.0,11.0,141672.0,134032.0,10.0,7.0,1.0,6.0,4.0,4.0,3.0,10.0,4.0,10.0,10.0,Male,Tier 2,Store
38,16737.0,5.6,11.0,2.1,3.0,1.0,0.0,3.0,33852.0,33315.0,1.0,6.0,1.0,3.0,6.0,8.0,1.0,1.0,10.0,4.0,6.0,Female,Tier 1,Store
33,146042.0,11.0,11.0,2.9,9.0,4.0,46.0,7.0,5641.0,40673.0,7.0,6.0,3.0,2.0,6.0,2.0,1.0,3.0,7.0,2.0,1.0,Male,Tier 2,Store
62,220704.0,7.2,6.0,2.1,5.0,5.0,48.0,0.0,117780.0,144379.0,8.0,9.0,4.0,8.0,6.0,1.0,8.0,7.0,5.0,4.0,10.0,Other,Tier 1,Store
35,100474.0,4.5,1.0,2.5,1.0,8.0,48.0,13.0,87037.0,17572.0,3.0,1.0,5.0,8.0,3.0,1.0,9.0,7.0,1.0,3.0,2.0,Female,Tier 1,Store
64,93218.0,4.5,2.0,2.5,8.0,7.0,26.0,8.0,78000.0,97914.0,8.0,9.0,6.0,4.0,4.0,4.0,6.0,10.0,6.0,10.0,10.0,Male,Tier 1,Store
70,173571.0,3.1,3.0,3.4,5.0,2.0,29.0,17.0,133230.0,128907.0,6.0,3.0,4.0,7.0,6.0,4.0,7.0,1.0,5.0,5.0,10.0,Female,Tier 1,Store
41,143692.0,3.3,2.0,0.6,5.0,9.0,33.0,11.0,73094.0,91378.0,3.0,8.0,2.0,10.0,1.0,7.0,3.0,10.0,8.0,6.0,9.0,Other,Tier 3,Store
43,192229.0,4.7,10.0,2.0,2.0,3.0,45.0,1.0,37559.0,29767.0,6.0,8.0,4.0,7.0,9.0,2.0,2.0,5.0,9.0,6.0,1.0,Male,Tier 3,Store
42,202319.0,4.0,7.0,1.1,9.0,9.0,0.0,5.0,133247.0,126515.0,6.0,1.0,3.0,4.0,3.0,2.0,4.0,10.0,5.0,6.0,7.0,Other,Tier 2,Store
77,143411.0,1.0,12.0,2.7,6.0,1.0,33.0,4.0,20371.0,45220.0,4.0,9.0,5.0,5.0,7.0,2.0,4.0,9.0,8.0,3.0,2.0,Other,Tier 2,Store
77,187106.0,7.7,1.0,1.4,10.0,9.0,6.0,17.0,57614.0,75449.0,5.0,1.0,2.0,9.0,10.0,1.0,8.0,4.0,4.0,10.0,10.0,Male,Tier 1,Store
77,15294.0,7.6,9.0,3.7,3.0,7.0,0.0,13.0,63404.0,86376.0,5.0,1.0,2.0,2.0,9.0,3.0,2.0,2.0,10.0,9.0,7.0,Male,Tier 1,Store
62,244144.0,6.6,2.0,2.0,7.0,2.0,41.0,14.0,111401.0,132192.0,6.0,4.0,1.0,1.0,2.0,5.0,10.0,7.0,8.0,10.0,1.0,Other,Tier 3,Store
58,39596.0,3.7,4.0,1.8,2.0,10.0,17.0,12.0,20920.0,123720.0,6.0,7.0,2.0,2.0,10.0,2.0,8.0,8.0,1.0,3.0,4.0,Male,Tier 3,Store
46,113185.0,9.3,8.0,1.4,7.0,7.0,34.0,8.0,78438.0,14175.0,3.0,2.0,3.0,3.0,6.0,3.0,4.0,1.0,4.0,8.0,8.0,Other,Tier 3,Online
32,26434.0,5.6,11.0,2.8,2.0,1.0,49.0,18.0,52711.0,92060.0,2.0,8.0,1.0,6.0,8.0,7.0,2.0,10.0,3.0,2.0,3.0,Male,Tier 1,Store
62,73382.0,4.3,3.0,0.8,5.0,3.0,18.0,0.0,53242.0,76108.0,1.0,0.0,4.0,5.0,4.0,7.0,3.0,7.0,5.0,3.0,8.0,Female,Tier 2,Store
18,53098.0,6.5,9.0,2.4,10.0,7.0,12.0,7.0,124737.0,50307.0,1.0,4.0,7.0,3.0,1.0,7.0,9.0,9.0,5.0,8.0,5.0,Male,Tier 2,Store
42,19655.0,6.4,7.0,2.3,10.0,3.0,22.0,15.0,73916.0,25764.0,8.0,7.0,5.0,4.0,10.0,1.0,3.0,1.0,4.0,8.0,5.0,Male,Tier 1,Store
24,98029.0,1.0,10.0,1.8,9.0,2.0,1.0,6.0,83480.0,30866.0,4.0,1.0,5.0,6.0,1.0,7.0,8.0,10.0,2.0,4.0,9.0,Other,Tier 1,Store
